Q,Region,CBA,CBT
2008-12-01,cuyo,122690,308390
2008-12-01,gran_buenos_aires,137650,324990
2008-12-01,noreste,123210,272300
2008-12-01,noroeste,119540,261920
2008-12-01,pampeana,136340,321770
2008-12-01,patagonia,142080,380770
2009-01-01,cuyo,122690,308390
2009-01-01,gran_buenos_aires,137650,324990
2009-01-01,noreste,123210,272300
2009-01-01,noroeste,119540,261920
2009-01-01,pampeana,136340,321770
2009-01-01,patagonia,142080,380770
2009-02-01,cuyo,122690,308390
2009-02-01,gran_buenos_aires,137650,324990
2009-02-01,noreste,123210,272300
2009-02-01,noroeste,119540,261920
2009-02-01,pampeana,136340,321770
2009-02-01,patagonia,142080,380770
2009-03-01,cuyo,122690,308390
2009-03-01,gran_buenos_aires,137650,324990
2009-03-01,noreste,123210,272300
2009-03-01,noroeste,119540,261920
2009-03-01,pampeana,136340,321770
2009-03-01,patagonia,142080,380770
2009-04-01,cuyo,122690,308390
2009-04-01,gran_buenos_aires,137650,324990
2009-04-01,noreste,123210,272300
2009-04-01,noroeste,119540,261920
2009-04-01,pampeana,136340,321770
2009-04-01,patagonia,142080,380770
2009-05-01,cuyo,122690,308390
2009-05-01,gran_buenos_aires,137650,324990
2009-05-01,noreste,123210,272300
2009-05-01,noroeste,119540,261920
2009-05-01,pampeana,136340,321770
2009-05-01,patagonia,142080,380770
2009-06-01,cuyo,122690,308390
2009-06-01,gran_buenos_aires,137650,324990
2009-06-01,noreste,123210,272300
2009-06-01,noroeste,119540,261920
2009-06-01,pampeana,136340,321770
2009-06-01,patagonia,142080,380770
2009-07-01,cuyo,122690,308390
2009-07-01,gran_buenos_aires,137650,324990
2009-07-01,noreste,123210,272300
2009-07-01,noroeste,119540,261920
2009-07-01,pampeana,136340,321770
2009-07-01,patagonia,142080,380770
2009-08-01,cuyo,122690,308390
2009-08-01,gran_buenos_aires,137650,324990
2009-08-01,noreste,123210,272300
2009-08-01,noroeste,119540,261920
2009-08-01,pampeana,136340,321770
2009-08-01,patagonia,142080,380770
2009-09-01,cuyo,122690,308390
2009-09-01,gran_buenos_aires,137650,324990
2009-09-01,noreste,123210,272300
2009-09-01,noroeste,119540,261920
2009-09-01,pampeana,136340,321770
2009-09-01,patagonia,142080,380770
2009-10-01,cuyo,122690,308390
2009-10-01,gran_buenos_aires,137650,324990
2009-10-01,noreste,123210,272300
2009-10-01,noroeste,119540,261920
2009-10-01,pampeana,136340,321770
2009-10-01,patagonia,142080,380770
2009-11-01,cuyo,122690,308390
2009-11-01,gran_buenos_aires,137650,324990
2009-11-01,noreste,123210,272300
2009-11-01,noroeste,119540,261920
2009-11-01,pampeana,136340,321770
2009-11-01,patagonia,142080,380770
2009-12-01,cuyo,122690,308390
2009-12-01,gran_buenos_aires,137650,324990
2009-12-01,noreste,123210,272300
2009-12-01,noroeste,119540,261920
2009-12-01,pampeana,136340,321770
2009-12-01,patagonia,142080,380770
2010-01-01,cuyo,122690,308390
2010-01-01,gran_buenos_aires,137650,324990
2010-01-01,noreste,123210,272300
2010-01-01,noroeste,119540,261920
2010-01-01,pampeana,136340,321770
2010-01-01,patagonia,142080,380770
2010-02-01,cuyo,122690,308390
2010-02-01,gran_buenos_aires,137650,324990
2010-02-01,noreste,123210,272300
2010-02-01,noroeste,119540,261920
2010-02-01,pampeana,136340,321770
2010-02-01,patagonia,142080,380770
2010-03-01,cuyo,122690,308390
2010-03-01,gran_buenos_aires,137650,324990
2010-03-01,noreste,123210,272300
2010-03-01,noroeste,119540,261920
2010-03-01,pampeana,136340,321770
2010-03-01,patagonia,142080,380770
