Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2007-08-15,patagonia,1422.3866776697025,3935.376729360791,13.92960820451792,198,548,21260,58820
2007-11-15,cuyo,1227.3627684117912,3184.7771977502325,14.478615429091056,178,461,18345,47601
2007-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,14.478615429091056,200,486,20604,50217
2007-11-15,noreste,1232.130273205757,2811.8558949373987,14.478615429091056,178,407,18416,42027
2007-11-15,noroeste,1197.4449498245592,2708.834587450183,14.478615429091056,173,392,17898,40488
2007-11-15,pampeana,1366.1084763454912,3328.815534019302,14.478615429091056,198,482,20419,49754
2007-11-15,patagonia,1422.3866776697025,3935.376729360791,14.478615429091056,206,570,21260,58820
2008-02-15,cuyo,1227.3627684117912,3184.7771977502325,15.274691581684545,187,486,18345,47601
2008-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,15.274691581684545,211,513,20604,50217
2008-02-15,noreste,1232.130273205757,2811.8558949373987,15.274691581684545,188,430,18416,42027
2008-02-15,noroeste,1197.4449498245592,2708.834587450183,15.274691581684545,183,414,17898,40488
2008-02-15,pampeana,1366.1084763454912,3328.815534019302,15.274691581684545,209,508,20419,49754
2008-02-15,patagonia,1422.3866776697025,3935.376729360791,15.274691581684545,217,601,21260,58820
2008-05-15,cuyo,1227.3627684117912,3184.7771977502325,16.42757539936326,202,523,18345,47601
2008-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,16.42757539936326,226,552,20604,50217
2008-05-15,noreste,1232.130273205757,2811.8558949373987,16.42757539936326,202,462,18416,42027
2008-05-15,noroeste,1197.4449498245592,2708.834587450183,16.42757539936326,197,445,17898,40488
2008-05-15,pampeana,1366.1084763454912,3328.815534019302,16.42757539936326,224,547,20419,49754
2008-05-15,patagonia,1422.3866776697025,3935.376729360791,16.42757539936326,234,646,21260,58820
2008-08-15,cuyo,1227.3627684117912,3184.7771977502325,17.092278606727657,210,544,18345,47601
2008-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,17.092278606727657,236,574,20604,50217
2008-08-15,noreste,1232.130273205757,2811.8558949373987,17.092278606727657,211,481,18416,42027
2008-08-15,noroeste,1197.4449498245592,2708.834587450183,17.092278606727657,205,463,17898,40488
2008-08-15,pampeana,1366.1084763454912,3328.815534019302,17.092278606727657,233,569,20419,49754
2008-08-15,patagonia,1422.3866776697025,3935.376729360791,17.092278606727657,243,673,21260,58820
2008-11-15,cuyo,1227.3627684117912,3184.7771977502325,17.461941381011915,214,556,18345,47601
2008-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,17.461941381011915,241,587,20604,50217
2008-11-15,noreste,1232.130273205757,2811.8558949373987,17.461941381011915,215,491,18416,42027
2008-11-15,noroeste,1197.4449498245592,2708.834587450183,17.461941381011915,209,473,17898,40488
2008-11-15,pampeana,1366.1084763454912,3328.815534019302,17.461941381011915,239,581,20419,49754
2008-11-15,patagonia,1422.3866776697025,3935.376729360791,17.461941381011915,248,687,21260,58820
2009-02-15,cuyo,1227.3627684117912,3184.7771977502325,17.89117661255996,220,570,18345,47601
2009-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,17.89117661255996,247,601,20604,50217
2009-02-15,noreste,1232.130273205757,2811.8558949373987,17.89117661255996,220,503,18416,42027
2009-02-15,noroeste,1197.4449498245592,2708.834587450183,17.89117661255996,214,485,17898,40488
2009-02-15,pampeana,1366.1084763454912,3328.815534019302,17.89117661255996,244,596,20419,49754
2009-02-15,patagonia,1422.3866776697025,3935.376729360791,17.89117661255996,254,704,21260,58820
2009-05-15,cuyo,1227.3627684117912,3184.7771977502325,18.637713563849868,229,594,18345,47601
2009-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,18.637713563849868,257,626,20604,50217
2009-05-15,noreste,1232.130273205757,2811.8558949373987,18.637713563849868,230,524,18416,42027
2009-05-15,noroeste,1197.4449498245592,2708.834587450183,18.637713563849868,223,505,17898,40488
2009-05-15,pampeana,1366.1084763454912,3328.815534019302,18.637713563849868,255,620,20419,49754
2009-05-15,patagonia,1422.3866776697025,3935.376729360791,18.637713563849868,265,733,21260,58820
2009-08-15,cuyo,1227.3627684117912,3184.7771977502325,19.27858778830876,237,614,18345,47601
2009-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,19.27858778830876,266,648,20604,50217
2009-08-15,noreste,1232.130273205757,2811.8558949373987,19.27858778830876,238,542,18416,42027
2009-08-15,noroeste,1197.4449498245592,2708.834587450183,19.27858778830876,231,522,17898,40488
2009-08-15,pampeana,1366.1084763454912,3328.815534019302,19.27858778830876,263,642,20419,49754
2009-08-15,patagonia,1422.3866776697025,3935.376729360791,19.27858778830876,274,759,21260,58820
2009-11-15,cuyo,1227.3627684117912,3184.7771977502325,20.286930012310588,249,646,18345,47601
2009-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,20.286930012310588,280,682,20604,50217
2009-11-15,noreste,1232.130273205757,2811.8558949373987,20.286930012310588,250,570,18416,42027
2009-11-15,noroeste,1197.4449498245592,2708.834587450183,20.286930012310588,243,550,17898,40488
2009-11-15,pampeana,1366.1084763454912,3328.815534019302,20.286930012310588,277,675,20419,49754
2009-11-15,patagonia,1422.3866776697025,3935.376729360791,20.286930012310588,289,798,21260,58820
2010-02-15,cuyo,1227.3627684117912,3184.7771977502325,22.065638170507864,271,703,18345,47601
2010-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,22.065638170507864,304,741,20604,50217
2010-02-15,noreste,1232.130273205757,2811.8558949373987,22.065638170507864,272,620,18416,42027
2010-02-15,noroeste,1197.4449498245592,2708.834587450183,22.065638170507864,264,598,17898,40488
2010-02-15,pampeana,1366.1084763454912,3328.815534019302,22.065638170507864,301,735,20419,49754
2010-02-15,patagonia,1422.3866776697025,3935.376729360791,22.065638170507864,314,868,21260,58820
